State,Date,%Retail/Rec Change,%Grocery/Pharm Change,%Parks Change,%Transit Change,%Workplace Change,%Residential Change
Alabama,2020-05-30,-11,7,75,8,-6,3
Alabama,2020-05-31,-9,5,79,3,-14,3
Alabama,2020-06-01,-1,8,46,-1,-28,8
Alabama,2020-06-02,-4,7,36,-3,-27,9
Alabama,2020-06-03,1,9,44,-1,-28,8
Alabama,2020-06-04,-6,8,35,-4,-27,9
Alabama,2020-06-05,-10,2,41,-5,-28,10
Alabama,2020-06-06,-11,8,55,7,-9,3
Alabama,2020-06-07,-15,-1,36,-7,-17,5
Alabama,2020-06-08,-10,-1,10,-10,-28,10
Alabama,2020-06-09,-8,1,9,-7,-27,10
Alabama,2020-06-10,-1,6,43,-2,-27,8
Alabama,2020-06-11,-3,7,60,2,-26,8
Alabama,2020-06-12,-7,3,71,1,-27,8
Alabama,2020-06-13,-9,8,92,18,-6,2
Alabama,2020-06-14,-8,5,75,10,-14,2
Alabama,2020-06-15,-3,4,61,1,-27,7
Alabama,2020-06-16,-3,6,60,0,-26,8
Alabama,2020-06-17,1,7,68,1,-28,7
Alabama,2020-06-18,-4,6,58,3,-27,8
Alabama,2020-06-19,-6,5,72,4,-29,6
Alabama,2020-06-20,-6,14,93,20,-7,1
Alabama,2020-06-21,-10,7,58,8,-15,2
Alabama,2020-06-22,-8,-1,30,2,-30,9
Alabama,2020-06-23,-7,2,29,-2,-29,9
Alabama,2020-06-24,-3,2,28,0,-29,9
Alabama,2020-06-25,-6,4,38,1,-28,9
Alabama,2020-06-26,-9,-1,41,2,-29,9
Alabama,2020-06-27,-11,3,59,19,-7,3
Alabama,2020-06-28,-10,1,58,11,-13,3
Alabama,2020-06-29,-5,0,42,2,-29,8
Alabama,2020-06-30,-2,3,34,0,-29,9
Alabama,2020-07-01,4,9,35,5,-32,8
Alabama,2020-07-02,6,18,54,12,-34,8
Alabama,2020-07-03,-3,18,76,0,-55,14
Alabama,2020-07-04,-35,0,76,-9,-28,4
Alabama,2020-07-05,-18,-7,46,11,-21,4
Alabama,2020-07-06,-5,3,40,6,-34,9
Alabama,2020-07-07,-7,2,29,-1,-31,9
Alabama,2020-07-08,-3,3,40,1,-31,8
Alabama,2020-07-09,-6,4,43,2,-30,9
Alabama,2020-07-10,-10,0,45,-1,-31,9
Alabama,2020-07-11,-11,5,70,17,-8,3
Alabama,2020-07-12,-16,-4,29,5,-18,5
Alabama,2020-07-13,-6,1,41,0,-30,8
Alabama,2020-07-14,-4,4,47,0,-30,8
Alabama,2020-07-15,-3,3,42,1,-31,8
Alabama,2020-07-16,-8,5,38,1,-30,9
Alabama,2020-07-17,-11,-1,44,1,-31,9
Alabama,2020-07-18,-13,4,63,16,-10,3
Alabama,2020-07-19,-12,1,48,7,-18,4
Alabama,2020-07-20,-9,-1,35,-1,-31,8
Alabama,2020-07-21,-9,0,28,-4,-31,9
Alabama,2020-07-22,-4,3,43,0,-30,8
Alabama,2020-07-23,-8,2,31,1,-30,9
Alabama,2020-07-24,-11,-3,37,0,-30,10
Alabama,2020-07-25,-14,1,54,12,-10,3
Alaska,2020-02-15,5,3,14,2,1,0
Alaska,2020-02-16,15,5,29,6,1,-1
Alaska,2020-02-17,3,-2,9,-6,-33,8
Alaska,2020-02-18,-2,-2,1,4,-2,2
Alaska,2020-02-19,0,-2,1,4,-3,2
Alaska,2020-02-20,3,3,5,1,2,0
Alaska,2020-02-21,-1,-2,1,5,5,0
Alaska,2020-02-22,5,3,13,3,4,-1
Alaska,2020-02-23,12,4,16,1,2,-1
Alaska,2020-02-24,4,1,7,4,3,0
Alaska,2020-02-25,6,-1,1,-1,3,0
Alaska,2020-02-26,12,6,7,2,3,0
Alaska,2020-02-27,10,6,13,9,2,-1
Alaska,2020-02-28,12,5,13,8,6,-2
Alaska,2020-02-29,13,9,9,12,5,-2
Alaska,2020-03-01,18,14,6,16,5,-1
Alaska,2020-03-02,6,6,4,6,1,0
Alaska,2020-03-03,11,9,-2,3,3,0
Alaska,2020-03-04,11,8,3,8,3,0
Alaska,2020-03-05,9,7,9,4,2,0
Alaska,2020-03-06,9,4,10,9,0,1
Alaska,2020-03-07,12,10,17,9,3,-1
Alaska,2020-03-08,13,8,34,9,2,-1
Alaska,2020-03-09,7,4,14,3,-10,2
Alaska,2020-03-10,13,6,11,2,-7,2
Alaska,2020-03-11,12,9,16,3,-8,2
Alaska,2020-03-12,12,19,21,-1,-9,2
Alaska,2020-03-13,7,19,16,0,-10,3
Alaska,2020-03-14,0,19,37,1,-1,1
Alaska,2020-03-15,5,14,58,7,-1,0
Alaska,2020-03-16,1,20,29,-6,-12,4
Alaska,2020-03-17,-14,8,12,-12,-15,7
Alaska,2020-03-18,-19,8,6,-12,-21,9
Alaska,2020-03-19,-26,4,15,-21,-25,10
Alaska,2020-03-20,-28,3,23,-24,-25,12
Alaska,2020-03-21,-37,-1,1,-25,-20,8
Alaska,2020-03-22,-30,-4,65,-30,-21,6
Alaska,2020-03-23,-36,-11,23,-37,-35,14
Alaska,2020-03-24,-37,-12,17,-39,-39,16
Alaska,2020-03-25,-40,-15,6,-42,-41,18
Alaska,2020-03-26,-40,-13,31,-42,-42,17
Alaska,2020-03-27,-42,-15,2,-50,-40,19
Alaska,2020-03-28,-47,-15,11,-50,-30,11
Alaska,2020-03-29,-48,-27,18,-55,-33,10
Alaska,2020-03-30,-40,-17,15,-49,-46,18
Alaska,2020-03-31,-37,-15,15,-45,-44,18
Alaska,2020-04-01,-35,-8,3,-43,-44,18
Alaska,2020-04-02,-42,-14,-3,-50,-45,19
Alaska,2020-04-03,-42,-14,2,-47,-43,20
Alaska,2020-04-04,-47,-14,21,-50,-32,12
Alaska,2020-04-05,-41,-17,29,-52,-32,9
Alaska,2020-04-06,-37,-15,1,-49,-44,17
Alaska,2020-04-07,-38,-16,1,-48,-44,18
Alaska,2020-04-08,-38,-14,7,-49,-44,18
Alaska,2020-04-09,-38,-12,19,-48,-44,18
Alaska,2020-04-10,-40,-10,28,-49,-44,19
Alaska,2020-04-11,-41,-4,36,-52,-32,10
Alaska,2020-04-12,-55,-33,12,-59,-37,9
Alaska,2020-04-13,-36,-15,5,-51,-43,17
Alaska,2020-04-14,-32,-13,19,-49,-41,18
Alaska,2020-04-15,-25,-5,-2,-47,-41,17
Alaska,2020-04-16,-29,-7,8,-47,-42,17
Alaska,2020-04-17,-32,-10,19,-44,-39,18
Alaska,2020-04-18,-33,-7,49,-44,-27,9
Alaska,2020-04-19,-28,-11,44,-51,-28,7
Alaska,2020-04-20,-25,-9,7,-44,-40,15
Alaska,2020-04-21,-27,-10,3,-46,-40,17
Alaska,2020-04-22,-24,-9,21,-45,-40,16
Alaska,2020-04-23,-27,-8,26,-44,-40,16
Alaska,2020-04-24,-28,-8,33,-44,-37,16
Alaska,2020-04-25,-25,-2,85,-40,-25,7
Alaska,2020-04-26,-17,-3,101,-43,-25,5
Alaska,2020-04-27,-14,-5,60,-39,-36,13
Alaska,2020-04-28,-15,-4,58,-39,-37,5
Alaska,2020-04-29,-12,1,47,-37,-37,14
Alaska,2020-04-30,-16,0,44,-39,-37,14
Alaska,2020-05-01,-16,5,65,-35,-34,13
Alaska,2020-05-02,-15,10,114,-27,-21,5
Alaska,2020-05-03,-9,4,110,-43,-21,4
Alaska,2020-05-04,-9,3,57,-36,-34,12
Alaska,2020-05-05,-6,9,81,-32,-33,12
Alaska,2020-05-06,-6,6,89,-31,-33,12
Alaska,2020-05-07,-11,4,70,-36,-34,12
Alaska,2020-05-08,-13,5,80,-34,-32,12
Alaska,2020-05-09,-8,21,152,-26,-18,3
Alaska,2020-05-10,2,23,163,-35,-17,1
Alaska,2020-05-11,-6,1,76,-34,-32,11
Alaska,2020-05-12,-4,2,106,-31,-31,11
Alaska,2020-05-13,0,9,113,-28,-30,10
Alaska,2020-05-14,-6,7,91,-31,-31,10
Alaska,2020-05-15,-5,7,134,-26,-29,9
Alaska,2020-05-16,-7,13,164,-23,-16,2
Alaska,2020-05-17,6,14,186,-28,-14,0
Alaska,2020-05-18,0,4,79,-29,-31,10
Alaska,2020-05-19,0,7,80,-27,-29,10
Alaska,2020-05-20,3,13,95,-25,-29,10
Alaska,2020-05-21,-3,12,78,-28,-30,10
Alaska,2020-05-22,-3,12,124,-23,-32,9
Alaska,2020-05-23,-8,14,151,-25,-16,1
Alaska,2020-05-24,3,15,147,-35,-17,1
Alaska,2020-05-25,-14,2,131,-39,-66,15
Alaska,2020-05-26,3,10,94,-25,-27,9
Alaska,2020-05-27,5,11,142,-20,-26,8
Alaska,2020-05-28,5,14,142,-18,-27,7
Alaska,2020-05-29,0,10,153,-19,-25,7
Alaska,2020-05-30,-2,14,152,-19,-7,1
Alaska,2020-05-31,9,14,125,-25,-7,1
Alaska,2020-06-01,9,17,103,-15,-25,7
Alaska,2020-06-02,7,15,103,-18,-25,8
Alaska,2020-06-03,11,16,106,-12,-25,7
Alaska,2020-06-04,6,15,138,-14,-26,7
Alaska,2020-06-05,3,13,163,-13,-24,6
Alaska,2020-06-06,2,18,193,-7,-9,0
Alaska,2020-06-07,15,19,195,-11,-7,-1
Alaska,2020-06-08,3,8,90,-12,-25,7
Alaska,2020-06-09,7,11,102,-13,-25,8
Alaska,2020-06-10,13,16,150,-7,-24,6
Alaska,2020-06-11,9,16,177,-5,-26,6
Alaska,2020-06-12,6,14,200,-5,-27,5
Alaska,2020-06-13,5,19,226,13,-7,-1
Alaska,2020-06-14,18,21,243,1,-8,-3
Alaska,2020-06-15,14,13,165,-6,-26,6
Alaska,2020-06-16,13,12,147,-11,-25,7
Alaska,2020-06-17,12,16,129,-8,-26,7
Alaska,2020-06-18,8,14,144,-7,-26,6
Alaska,2020-06-19,3,12,124,-10,-26,6
Alaska,2020-06-20,2,19,180,0,-10,0
Alaska,2020-06-21,16,21,194,-3,-8,-2
Alaska,2020-06-22,9,8,146,-2,-28,6
Alaska,2020-06-23,11,10,126,-6,-27,7
Alaska,2020-06-24,14,16,145,-6,-26,7
Alaska,2020-06-25,10,15,160,-2,-26,6
Alaska,2020-06-26,4,10,155,-6,-25,6
Alaska,2020-06-27,5,17,242,10,-10,-1
Alaska,2020-06-28,12,14,148,-6,-8,0
Alaska,2020-06-29,12,13,152,-5,-26,6
Alaska,2020-06-30,20,19,170,0,-25,6
Alaska,2020-07-01,33,36,195,5,-26,4
Alaska,2020-07-02,26,37,215,5,-31,3
Alaska,2020-07-03,11,31,288,-1,-53,7
Alaska,2020-07-04,-17,19,303,-3,-26,-1
Alaska,2020-07-05,15,19,239,11,-14,-4
Alaska,2020-07-06,19,18,165,1,-35,7
Alaska,2020-07-07,18,17,174,3,-29,7
Alaska,2020-07-08,14,17,91,-3,-28,8
Alaska,2020-07-09,11,17,157,1,-28,7
Alaska,2020-07-10,8,13,172,4,-26,6
Alaska,2020-07-11,5,18,169,12,-8,1
Alaska,2020-07-12,19,20,190,9,-8,0
Alaska,2020-07-13,18,15,192,6,-28,6
Alaska,2020-07-14,20,17,202,6,-29,6
Alaska,2020-07-15,21,21,200,4,-27,6
Alaska,2020-07-16,13,19,184,3,-28,6
Alaska,2020-07-17,6,13,170,1,-28,6
Alaska,2020-07-18,6,19,211,15,-9,0
Alaska,2020-07-19,19,21,189,11,-8,-1
Alaska,2020-07-20,16,16,182,3,-29,6
Alaska,2020-07-21,18,18,202,4,-28,6
Alaska,2020-07-22,16,19,143,2,-27,7
Alaska,2020-07-23,14,17,221,6,-28,6
Alaska,2020-07-24,4,12,137,-4,-27,8
Alaska,2020-07-25,4,16,175,10,-10,1
Arizona,2020-02-15,3,2,13,3,-1,0
Arizona,2020-02-16,7,3,30,3,0,-1
Arizona,2020-02-17,9,1,35,1,-25,5
Arizona,2020-02-18,2,2,14,6,2,0
Arizona,2020-02-19,4,2,14,7,1,0
Arizona,2020-02-20,5,2,21,5,-1,0
Arizona,2020-02-21,2,1,10,4,0,0
Arizona,2020-02-22,-2,-4,-42,-6,-4,3
Arizona,2020-02-23,6,1,6,7,1,0
Arizona,2020-02-24,5,1,15,5,3,0
Arizona,2020-02-25,5,2,9,7,3,0
Arizona,2020-02-26,9,4,10,9,2,-1
Arizona,2020-02-27,9,4,17,6,2,-1
Arizona,2020-02-28,7,5,10,7,3,-1
Arizona,2020-02-29,6,6,14,7,2,-2
Arizona,2020-03-01,12,7,21,8,3,-1
Arizona,2020-03-02,8,4,4,4,3,0
Arizona,2020-03-03,9,8,11,6,3,-1
Arizona,2020-03-04,8,8,17,7,2,-1
Arizona,2020-03-05,9,6,22,5,2,-1
Arizona,2020-03-06,6,6,20,8,1,-1
Arizona,2020-03-07,4,5,18,9,1,-2
Arizona,2020-03-08,9,4,22,7,1,-2
Arizona,2020-03-09,9,4,32,4,-7,0
Arizona,2020-03-10,6,3,4,2,-8,2
Arizona,2020-03-11,5,6,-14,-2,-10,3
Arizona,2020-03-12,6,15,-15,-6,-12,4
Arizona,2020-03-13,0,20,-16,-7,-12,4
Arizona,2020-03-14,-5,18,-6,-2,-2,2
Arizona,2020-03-15,-2,16,15,-3,-4,1
Arizona,2020-03-16,0,22,13,-9,-19,5
Arizona,2020-03-17,-9,20,9,-9,-24,8
Arizona,2020-03-18,-23,6,-38,-21,-31,12
Arizona,2020-03-19,-22,7,-8,-23,-33,13
Arizona,2020-03-20,-28,6,-6,-25,-33,14
Arizona,2020-03-21,-36,-1,-14,-26,-22,10
Arizona,2020-03-22,-37,-10,0,-33,-28,8
Arizona,2020-03-23,-31,-10,-3,-33,-37,13
Arizona,2020-03-24,-32,-9,0,-31,-39,15
Arizona,2020-03-25,-33,-11,-7,-32,-41,15
Arizona,2020-03-26,-34,-12,-9,-36,-42,16
Arizona,2020-03-27,-38,-14,-22,-39,-41,18
Arizona,2020-03-28,-41,-15,-24,-37,-29,12
Arizona,2020-03-29,-40,-17,-7,-41,-33,10
Arizona,2020-03-30,-30,-9,-6,-37,-42,14
Arizona,2020-03-31,-33,-10,-17,-35,-44,16
Arizona,2020-04-01,-38,-15,-20,-37,-47,17
Arizona,2020-04-02,-38,-16,-17,-40,-47,18
Arizona,2020-04-03,-38,-13,-21,-41,-46,19
Arizona,2020-04-04,-44,-16,-36,-43,-34,13
Arizona,2020-04-05,-43,-19,-23,-47,-37,11
Arizona,2020-04-06,-38,-18,-18,-41,-47,17
Arizona,2020-04-07,-38,-15,-18,-39,-48,17
Arizona,2020-04-08,-39,-16,-27,-41,-49,18
Arizona,2020-04-09,-37,-14,-17,-41,-49,18
Arizona,2020-04-10,-38,-13,-21,-43,-50,20
Arizona,2020-04-11,-43,-14,-42,-45,-36,14
Arizona,2020-04-12,-57,-27,-31,-48,-41,10
Arizona,2020-04-13,-39,-21,-22,-42,-47,17
Arizona,2020-04-14,-37,-17,-17,-38,-47,18
Arizona,2020-04-15,-31,-13,-15,-36,-46,17
Arizona,2020-04-16,-33,-14,-13,-38,-47,17
Arizona,2020-04-17,-37,-15,-19,-39,-46,19
Arizona,2020-04-18,-40,-15,-29,-38,-32,12
Arizona,2020-04-19,-38,-16,-15,-42,-34,9
Arizona,2020-04-20,-33,-16,-13,-39,-46,16
Arizona,2020-04-21,-34,-15,-16,-37,-46,17
Arizona,2020-04-22,-34,-14,-16,-36,-47,17
Arizona,2020-04-23,-34,-13,-15,-39,-47,17
Arizona,2020-04-24,-36,-14,-19,-39,-46,18
Arizona,2020-04-25,-40,-12,-28,-37,-32,12
Arizona,2020-04-26,-37,-14,-22,-41,-34,9
Arizona,2020-04-27,-31,-13,-19,-38,-45,16
Arizona,2020-04-28,-32,-11,-20,-34,-46,9
Arizona,2020-04-29,-31,-10,-23,-35,-46,16
Arizona,2020-04-30,-30,-8,-19,-36,-46,16
Arizona,2020-05-01,-31,-7,-17,-35,-44,17
Arizona,2020-05-02,-36,-8,-29,-35,-30,11
Arizona,2020-05-03,-34,-10,-18,-38,-30,8
Arizona,2020-05-04,-28,-9,-15,-36,-43,14
Arizona,2020-05-05,-27,-4,-18,-33,-44,15
Arizona,2020-05-06,-30,-6,-20,-34,-44,15
Arizona,2020-05-07,-29,-6,-15,-35,-44,16
Arizona,2020-05-08,-30,-3,-13,-33,-42,16
Arizona,2020-05-09,-32,3,-25,-33,-26,9
Arizona,2020-05-10,-29,3,-21,-33,-25,6
Arizona,2020-05-11,-25,-11,-16,-34,-41,13
Arizona,2020-05-12,-24,-7,-14,-31,-41,14
Arizona,2020-05-13,-24,-7,-10,-30,-41,14
Arizona,2020-05-14,-24,-7,-6,-32,-42,14
Arizona,2020-05-15,-26,-7,-7,-32,-40,14
Arizona,2020-05-16,-29,-7,-16,-31,-23,8
Arizona,2020-05-17,-25,-9,-8,-34,-21,6
Arizona,2020-05-18,-19,-8,-8,-31,-38,12
Arizona,2020-05-19,-18,-4,-7,-30,-39,13
Arizona,2020-05-20,-16,-4,2,-26,-39,12
Arizona,2020-05-21,-15,-2,3,-27,-40,13
Arizona,2020-05-22,-20,-1,2,-26,-39,13
Arizona,2020-05-23,-25,-3,-4,-27,-19,7
Arizona,2020-05-24,-20,-4,21,-29,-19,4
Arizona,2020-05-25,-20,-7,25,-35,-69,18
Arizona,2020-05-26,-19,-5,-8,-29,-38,12
Arizona,2020-05-27,-19,-6,-9,-28,-38,12
Arizona,2020-05-28,-18,-5,-8,-29,-38,13
Arizona,2020-05-29,-22,-7,-13,-30,-36,13
Arizona,2020-05-30,-26,-7,-23,-29,-12,7
Arizona,2020-05-31,-23,-7,-20,-31,-14,6
Arizona,2020-06-01,-17,-6,-18,-30,-36,11
Arizona,2020-06-02,-18,-4,-18,-28,-37,12
Arizona,2020-06-03,-18,-2,-20,-28,-37,12
Arizona,2020-06-04,-18,-5,-16,-30,-37,12
Arizona,2020-06-05,-21,-6,-14,-30,-36,13
Arizona,2020-06-06,-23,-5,-15,-28,-13,6
Arizona,2020-06-07,-19,-7,-7,-29,-14,5
Arizona,2020-06-08,-14,-7,0,-28,-36,10
Arizona,2020-06-09,-15,-5,-3,-27,-36,11
Arizona,2020-06-10,-16,-6,-7,-29,-37,11
Arizona,2020-06-11,-17,-6,-6,-30,-37,12
Arizona,2020-06-12,-20,-6,-10,-29,-36,12
Arizona,2020-06-13,-23,-6,-16,-26,-12,6
Arizona,2020-06-14,-20,-8,-9,-28,-12,4
Arizona,2020-06-15,-17,-9,-6,-29,-37,11
Arizona,2020-06-16,-17,-6,-8,-27,-37,12
Arizona,2020-06-17,-17,-6,-7,-27,-38,11
Arizona,2020-06-18,-17,-5,-3,-28,-38,11
Arizona,2020-06-19,-21,-5,-6,-28,-38,11
Arizona,2020-06-20,-25,-4,-21,-29,-14,7
Arizona,2020-06-21,-23,-6,-19,-30,-12,4
Arizona,2020-06-22,-20,-11,-10,-30,-40,11
Arizona,2020-06-23,-20,-8,-10,-27,-40,12
Arizona,2020-06-24,-20,-9,-13,-27,-39,12
Arizona,2020-06-25,-20,-8,-8,-29,-40,12
Arizona,2020-06-26,-24,-8,-12,-30,-39,13
Arizona,2020-06-27,-28,-11,-24,-29,-16,8
Arizona,2020-06-28,-25,-13,-19,-31,-14,6
Arizona,2020-06-29,-19,-10,-8,-28,-39,11
Arizona,2020-06-30,-19,-7,-9,-27,-40,13
Arizona,2020-07-01,-19,-4,-12,-26,-41,12
Arizona,2020-07-02,-16,-1,-4,-25,-43,12
Arizona,2020-07-03,-23,1,-2,-31,-58,17
Arizona,2020-07-04,-42,-10,-24,-39,-29,10
Arizona,2020-07-05,-32,-19,-26,-33,-22,6
Arizona,2020-07-06,-21,-9,-13,-28,-44,12
Arizona,2020-07-07,-22,-8,-17,-26,-43,13
Arizona,2020-07-08,-23,-9,-17,-28,-42,13
Arizona,2020-07-09,-23,-9,-15,-30,-42,13
Arizona,2020-07-10,-27,-10,-21,-32,-41,14
Arizona,2020-07-11,-32,-12,-37,-33,-19,9
Arizona,2020-07-12,-29,-14,-33,-33,-20,7
Arizona,2020-07-13,-23,-12,-19,-32,-42,12
Arizona,2020-07-14,-22,-9,-19,-30,-42,13
Arizona,2020-07-15,-22,-10,-17,-30,-42,13
Arizona,2020-07-16,-23,-10,-15,-31,-42,13
Arizona,2020-07-17,-26,-11,-16,-32,-41,14
Arizona,2020-07-18,-30,-12,-27,-32,-19,8
Arizona,2020-07-19,-26,-14,-19,-33,-20,6
Arizona,2020-07-20,-21,-13,-7,-31,-42,12
Arizona,2020-07-21,-21,-10,-14,-29,-42,13
Arizona,2020-07-22,-22,-11,-15,-30,-41,13
Arizona,2020-07-23,-22,-12,-9,-31,-42,13
Arizona,2020-07-24,-25,-12,-16,-32,-40,13
Arizona,2020-07-25,-29,-12,-21,-31,-19,8
Arkansas,2020-02-15,3,2,8,-3,1,0
Arkansas,2020-02-16,5,4,32,0,1,-1
Arkansas,2020-02-17,1,-2,7,-1,-16,5
Arkansas,2020-02-18,-3,-4,-3,-2,0,1
Arkansas,2020-02-19,4,1,24,0,3,-1
Arkansas,2020-02-20,2,0,3,1,1,0
Arkansas,2020-02-21,5,0,19,2,2,-1
Arkansas,2020-02-22,3,2,18,2,3,0
Arkansas,2020-02-23,0,-1,-32,1,1,1
Arkansas,2020-02-24,3,0,-9,-1,1,1
Arkansas,2020-02-25,7,1,15,3,2,0
Arkansas,2020-02-26,16,5,8,5,3,-2
Arkansas,2020-02-27,16,7,28,6,3,-2
Arkansas,2020-02-28,18,9,48,6,3,-3
Arkansas,2020-02-29,17,11,70,8,4,-3
Arkansas,2020-03-01,18,12,21,11,3,-2
Arkansas,2020-03-02,14,7,26,3,3,-1
Arkansas,2020-03-03,22,15,58,4,3,-2
Arkansas,2020-03-04,15,9,36,3,4,-2
Arkansas,2020-03-05,17,12,80,6,3,-2
Arkansas,2020-03-06,13,8,73,6,3,-2
Arkansas,2020-03-07,12,10,80,10,4,-2
Arkansas,2020-03-08,16,13,78,12,3,-2
Arkansas,2020-03-09,6,4,-5,2,1,2
Arkansas,2020-03-10,13,11,84,6,3,-1
Arkansas,2020-03-11,12,14,61,2,4,-1
Arkansas,2020-03-12,14,33,69,4,2,-1
